Training...
Step 1328 | Train Loss: 0.2895 | last_energy: -7.090214729309082
Step 1332 | Train Loss: 0.2608 | last_energy: -7.423584938049316
Step 1336 | Train Loss: 0.2697 | last_energy: -6.309667587280273
Step 1340 | Train Loss: 0.2804 | last_energy: -5.886359214782715
Step 1344 | Train Loss: 0.2863 | last_energy: -6.1296515464782715
Step 1348 | Train Loss: 0.2833 | last_energy: -6.4192118644714355
Step 1352 | Train Loss: 0.2801 | last_energy: -7.194951057434082
Step 1356 | Train Loss: 0.2372 | last_energy: -6.788707733154297
Step 1360 | Train Loss: 0.2996 | last_energy: -7.550085067749023
Step 1364 | Train Loss: 0.2222 | last_energy: -6.990663528442383
Step 1368 | Train Loss: 0.2378 | last_energy: -7.0804619789123535
Step 1372 | Train Loss: 0.2703 | last_energy: -7.611865520477295
Step 1376 | Train Loss: 0.2841 | last_energy: -6.619128227233887
Step 1380 | Train Loss: 0.2451 | last_energy: -6.3685688972473145
Step 1384 | Train Loss: 0.2809 | last_energy: -6.280046463012695
Step 1388 | Train Loss: 0.2556 | last_energy: -6.201394081115723
Step 1392 | Train Loss: 0.2532 | last_energy: -5.9602131843566895
Step 1396 | Train Loss: 0.2623 | last_energy: -5.997729301452637
Step 1400 | Train Loss: 0.2956 | last_energy: -5.255255699157715
Saved checkpoint: ./checkpoints/ebt.pth
Step 1404 | Train Loss: 0.3080 | last_energy: -7.452013969421387
Step 1408 | Train Loss: 0.2866 | last_energy: -9.047755241394043
Step 1412 | Train Loss: 0.2674 | last_energy: -9.707390785217285
Step 1416 | Train Loss: 0.2763 | last_energy: -9.485755920410156
Step 1420 | Train Loss: 0.2440 | last_energy: -8.836763381958008
Step 1424 | Train Loss: 0.2866 | last_energy: -8.391138076782227
Step 1428 | Train Loss: 0.2935 | last_energy: -8.768932342529297
Step 1432 | Train Loss: 0.2640 | last_energy: -9.052924156188965
Step 1436 | Train Loss: 0.2520 | last_energy: -8.752033233642578
Step 1440 | Train Loss: 0.2892 | last_energy: -8.122288703918457
Step 1444 | Train Loss: 0.2519 | last_energy: -7.455929756164551
Step 1448 | Train Loss: 0.2860 | last_energy: -7.206665992736816
Step 1452 | Train Loss: 0.2451 | last_energy: -6.807671546936035
Step 1456 | Train Loss: 0.2841 | last_energy: -6.075928688049316
Step 1460 | Train Loss: 0.2685 | last_energy: -5.829576015472412
Step 1464 | Train Loss: 0.2471 | last_energy: -5.505854606628418
Step 1468 | Train Loss: 0.2771 | last_energy: -6.277382850646973
Step 1472 | Train Loss: 0.2449 | last_energy: -5.896829128265381
Step 1476 | Train Loss: 0.2470 | last_energy: -6.429609298706055
Step 1480 | Train Loss: 0.2576 | last_energy: -6.8290910720825195
Step 1484 | Train Loss: 0.2437 | last_energy: -6.181698799133301
Step 1488 | Train Loss: 0.2201 | last_energy: -5.946542739868164
Step 1492 | Train Loss: 0.2838 | last_energy: -5.902846813201904
Step 1496 | Train Loss: 0.2483 | last_energy: -5.754073143005371
Step 1500 | Train Loss: 0.2602 | last_energy: -5.903509140014648
Step 1504 | Train Loss: 0.2994 | last_energy: -6.159684181213379
Step 1508 | Train Loss: 0.2450 | last_energy: -6.13169002532959
Step 1512 | Train Loss: 0.2483 | last_energy: -5.9089179039001465
Step 1516 | Train Loss: 0.2819 | last_energy: -6.56110954284668
Step 1520 | Train Loss: 0.2612 | last_energy: -5.9792680740356445
Step 1524 | Train Loss: 0.2604 | last_energy: -6.763615608215332
Step 1528 | Train Loss: 0.2646 | last_energy: -6.8200836181640625
Step 1532 | Train Loss: 0.2570 | last_energy: -6.417513847351074
Step 1536 | Train Loss: 0.2463 | last_energy: -6.09263801574707
Step 1540 | Train Loss: 0.2450 | last_energy: -6.766373157501221
Step 1544 | Train Loss: 0.2615 | last_energy: -6.493410110473633
Step 1548 | Train Loss: 0.2495 | last_energy: -5.776677131652832
Step 1552 | Train Loss: 0.2666 | last_energy: -6.244980812072754
Step 1556 | Train Loss: 0.2458 | last_energy: -5.62131404876709
Step 1560 | Train Loss: 0.2674 | last_energy: -5.934309005737305
Step 1564 | Train Loss: 0.3059 | last_energy: -5.856127738952637
Step 1568 | Train Loss: 0.2566 | last_energy: -6.674863815307617
Step 1572 | Train Loss: 0.2795 | last_energy: -7.189191818237305
Step 1576 | Train Loss: 0.2378 | last_energy: -6.280414581298828
Step 1580 | Train Loss: 0.2653 | last_energy: -6.497476577758789
Step 1584 | Train Loss: 0.2490 | last_energy: -7.013968467712402
Step 1588 | Train Loss: 0.2458 | last_energy: -6.385008811950684
Step 1592 | Train Loss: 0.2434 | last_energy: -6.625922203063965
Step 1596 | Train Loss: 0.2803 | last_energy: -6.151662826538086
Step 1600 | Train Loss: 0.2646 | last_energy: -6.293001651763916
Saved checkpoint: ./checkpoints/ebt.pth
Step 1604 | Train Loss: 0.2408 | last_energy: -6.2185492515563965
Step 1608 | Train Loss: 0.2552 | last_energy: -6.079274654388428
Step 1612 | Train Loss: 0.2834 | last_energy: -6.394418716430664
Step 1616 | Train Loss: 0.2829 | last_energy: -6.77919340133667
Step 1620 | Train Loss: 0.2508 | last_energy: -5.897838592529297
Step 1624 | Train Loss: 0.2748 | last_energy: -6.561991214752197
Step 1628 | Train Loss: 0.2568 | last_energy: -6.349349021911621
Step 1632 | Train Loss: 0.3018 | last_energy: -7.204814910888672
Step 1636 | Train Loss: 0.2858 | last_energy: -6.6263837814331055
Step 1640 | Train Loss: 0.2940 | last_energy: -7.166362762451172
Step 1644 | Train Loss: 0.2468 | last_energy: -7.611321926116943
Step 1648 | Train Loss: 0.2668 | last_energy: -6.763981819152832
