Training...
Step 1192 | Train Loss: 0.1778 | last_energy: -127.43238830566406
Step 1196 | Train Loss: 0.1769 | last_energy: -127.39868927001953
Step 1200 | Train Loss: 0.1866 | last_energy: -127.36043548583984
Saved checkpoint: ./checkpoints/ebt.pth
Step 1204 | Train Loss: 0.1813 | last_energy: -127.33001708984375
Step 1208 | Train Loss: 0.1505 | last_energy: -127.30140686035156
Step 1212 | Train Loss: 0.1743 | last_energy: -127.2750015258789
Step 1216 | Train Loss: 0.1595 | last_energy: -127.22962188720703
Step 1220 | Train Loss: 0.1926 | last_energy: -127.2015380859375
Step 1224 | Train Loss: 0.1753 | last_energy: -127.16851806640625
Step 1228 | Train Loss: 0.1512 | last_energy: -127.13235473632812
Step 1232 | Train Loss: 0.1860 | last_energy: -127.11456298828125
Step 1236 | Train Loss: 0.1968 | last_energy: -127.0772705078125
Step 1240 | Train Loss: 0.1707 | last_energy: -127.04444885253906
Step 1244 | Train Loss: 0.1816 | last_energy: -127.01496887207031
Step 1248 | Train Loss: 0.1810 | last_energy: -126.97624206542969
Step 1252 | Train Loss: 0.1800 | last_energy: -126.94823455810547
Step 1256 | Train Loss: 0.1650 | last_energy: -126.90927124023438
Step 1260 | Train Loss: 0.1717 | last_energy: -126.88250732421875
Step 1264 | Train Loss: 0.1894 | last_energy: -126.85374450683594
Step 1268 | Train Loss: 0.1892 | last_energy: -126.84236145019531
Step 1272 | Train Loss: 0.1729 | last_energy: -126.79486083984375
Step 1276 | Train Loss: 0.1874 | last_energy: -126.75553894042969
Step 1280 | Train Loss: 0.1669 | last_energy: -126.7243423461914
Step 1284 | Train Loss: 0.2040 | last_energy: -126.69015502929688
Step 1288 | Train Loss: 0.1761 | last_energy: -126.66386413574219
Step 1292 | Train Loss: 0.1803 | last_energy: -126.62483215332031
Step 1296 | Train Loss: 0.1718 | last_energy: -126.59498596191406
Step 1300 | Train Loss: 0.1865 | last_energy: -126.5731201171875
Step 1304 | Train Loss: 0.1797 | last_energy: -126.52783203125
Step 1308 | Train Loss: 0.1947 | last_energy: -126.49842071533203
Step 1312 | Train Loss: 0.1870 | last_energy: -126.46409606933594
Step 1316 | Train Loss: 0.1603 | last_energy: -126.44224548339844
Step 1320 | Train Loss: 0.1710 | last_energy: -126.40328979492188
Step 1324 | Train Loss: 0.1810 | last_energy: -126.3719253540039
Step 1328 | Train Loss: 0.1940 | last_energy: -126.3499755859375
Step 1332 | Train Loss: 0.1791 | last_energy: -126.31645202636719
Step 1336 | Train Loss: 0.1784 | last_energy: -126.28868865966797
Step 1340 | Train Loss: 0.2177 | last_energy: -126.24545288085938
Step 1344 | Train Loss: 0.1606 | last_energy: -126.21009826660156
Step 1348 | Train Loss: 0.1788 | last_energy: -126.17317199707031
Step 1352 | Train Loss: 0.1929 | last_energy: -126.14765930175781
Step 1356 | Train Loss: 0.2035 | last_energy: -126.12611389160156
Step 1360 | Train Loss: 0.1715 | last_energy: -126.09292602539062
Step 1364 | Train Loss: 0.1998 | last_energy: -126.07081604003906
Step 1368 | Train Loss: 0.1852 | last_energy: -126.03087615966797
Step 1372 | Train Loss: 0.1984 | last_energy: -125.99003601074219
Step 1376 | Train Loss: 0.1426 | last_energy: -125.95893859863281
Step 1380 | Train Loss: 0.1394 | last_energy: -125.92994689941406
Step 1384 | Train Loss: 0.1647 | last_energy: -125.91325378417969
Step 1388 | Train Loss: 0.1899 | last_energy: -125.8763198852539
Step 1392 | Train Loss: 0.1733 | last_energy: -125.83267211914062
Step 1396 | Train Loss: 0.1731 | last_energy: -125.79541778564453
Step 1400 | Train Loss: 0.1769 | last_energy: -125.76399230957031
Saved checkpoint: ./checkpoints/ebt.pth
Step 1404 | Train Loss: 0.1724 | last_energy: -125.72576141357422
Step 1408 | Train Loss: 0.1757 | last_energy: -125.71452331542969
Step 1412 | Train Loss: 0.1612 | last_energy: -125.67593383789062
Step 1416 | Train Loss: 0.1397 | last_energy: -125.63729858398438
Step 1420 | Train Loss: 0.1902 | last_energy: -125.62501525878906
Step 1424 | Train Loss: 0.1606 | last_energy: -125.58153533935547
Step 1428 | Train Loss: 0.1604 | last_energy: -125.5469970703125
Step 1432 | Train Loss: 0.1903 | last_energy: -125.50996398925781
Step 1436 | Train Loss: 0.1884 | last_energy: -125.49064636230469
Step 1440 | Train Loss: 0.2290 | last_energy: -125.45204162597656
Step 1444 | Train Loss: 0.1501 | last_energy: -125.42431640625
Step 1448 | Train Loss: 0.2069 | last_energy: -125.40342712402344
Step 1452 | Train Loss: 0.1873 | last_energy: -125.375244140625
Step 1456 | Train Loss: 0.1984 | last_energy: -125.3405990600586
Step 1460 | Train Loss: 0.1671 | last_energy: -125.29830932617188
Step 1464 | Train Loss: 0.1502 | last_energy: -125.26124572753906
Step 1468 | Train Loss: 0.1556 | last_energy: -125.22810363769531
Step 1472 | Train Loss: 0.1544 | last_energy: -125.20250701904297
Step 1476 | Train Loss: 0.1602 | last_energy: -125.16932678222656
Step 1480 | Train Loss: 0.1754 | last_energy: -125.1402587890625
Step 1484 | Train Loss: 0.1850 | last_energy: -125.10476684570312
Step 1488 | Train Loss: 0.2011 | last_energy: -125.07168579101562
Step 1492 | Train Loss: 0.1580 | last_energy: -125.05876159667969
Step 1496 | Train Loss: 0.2112 | last_energy: -125.0091552734375
Step 1500 | Train Loss: 0.1749 | last_energy: -124.98027801513672
Step 1504 | Train Loss: 0.1801 | last_energy: -124.95704650878906
Step 1508 | Train Loss: 0.1873 | last_energy: -124.93516540527344
Step 1512 | Train Loss: 0.2013 | last_energy: -124.89134979248047
Step 1516 | Train Loss: 0.2037 | last_energy: -124.86276245117188
Step 1520 | Train Loss: 0.1926 | last_energy: -124.8313980102539
Step 1524 | Train Loss: 0.1974 | last_energy: -124.78761291503906
Step 1528 | Train Loss: 0.1629 | last_energy: -124.771484375
Step 1532 | Train Loss: 0.1565 | last_energy: -124.7350845336914
Step 1536 | Train Loss: 0.1737 | last_energy: -124.69546508789062
Step 1540 | Train Loss: 0.1728 | last_energy: -124.66316223144531
Step 1544 | Train Loss: 0.1714 | last_energy: -124.63842010498047
Step 1548 | Train Loss: 0.1896 | last_energy: -124.60334777832031
Step 1552 | Train Loss: 0.1755 | last_energy: -124.57181549072266
Step 1556 | Train Loss: 0.1877 | last_energy: -124.54010009765625
Step 1560 | Train Loss: 0.1773 | last_energy: -124.51687622070312
Step 1564 | Train Loss: 0.1736 | last_energy: -124.48553466796875
Step 1568 | Train Loss: 0.1513 | last_energy: -124.45262145996094
Step 1572 | Train Loss: 0.2169 | last_energy: -124.42300415039062
Step 1576 | Train Loss: 0.1986 | last_energy: -124.38665771484375
Step 1580 | Train Loss: 0.1740 | last_energy: -124.35914611816406
Step 1584 | Train Loss: 0.1801 | last_energy: -124.31294250488281
Step 1588 | Train Loss: 0.1667 | last_energy: -124.28926086425781
Step 1592 | Train Loss: 0.1790 | last_energy: -124.25768280029297
Step 1596 | Train Loss: 0.1667 | last_energy: -124.23483276367188
Step 1600 | Train Loss: 0.1537 | last_energy: -124.19325256347656
Saved checkpoint: ./checkpoints/ebt.pth
Step 1604 | Train Loss: 0.1656 | last_energy: -124.16690063476562
Step 1608 | Train Loss: 0.1660 | last_energy: -124.14445495605469
Step 1612 | Train Loss: 0.1836 | last_energy: -124.10491943359375
Step 1616 | Train Loss: 0.1629 | last_energy: -124.06361389160156
Step 1620 | Train Loss: 0.1704 | last_energy: -124.02982330322266
Step 1624 | Train Loss: 0.1747 | last_energy: -124.00977325439453
Step 1628 | Train Loss: 0.2001 | last_energy: -123.98101806640625
Step 1632 | Train Loss: 0.1710 | last_energy: -123.95155334472656
